timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117923537925,5,3,-10,-19,-7,-1,-1,0
117923537925,-4,-5,-8,-4,-4,-3,-1,1
117923538753,3,1,3,-1,5,-1,1,5
117923538753,0,-1,-6,5,-2,-2,-6,-9
117923560315,-4,-4,12,6,3,-1,-4,-10
117923560315,2,1,-14,-4,-2,0,0,1
117923561095,-3,0,26,-2,-1,-2,1,-2
117923561095,-2,-1,6,-4,-1,-1,0,3
117923574649,4,3,0,6,5,1,1,4
117923574649,-5,-6,-5,-5,-4,0,-1,-3
117923582228,-1,10,5,-6,-3,-2,-4,-4
117923582228,2,-3,7,0,0,-1,0,3
117923597819,-4,0,0,-2,-4,-3,0,4
117923597819,-2,0,-3,14,11,1,-3,-15
117923598587,0,0,8,-7,-9,1,-1,1
117923598587,1,3,-9,-4,1,0,-1,-1
117923620320,-1,-2,10,-7,-3,-2,0,3
117923620320,1,-3,-10,-4,-3,-2,-2,0
117923621124,-3,-4,-9,2,1,1,0,-3
117923621124,-2,4,18,0,-5,-2,-2,-1
117923634661,-2,-2,-11,4,2,-1,0,0
117923634661,1,-3,7,-1,-3,-1,1,2
117923642154,2,0,-7,1,4,0,1,-4
117923642154,-8,-5,-8,2,-4,-1,-2,-7
117923658033,0,-4,10,-2,-1,0,0,0
117923658033,1,-2,-12,-5,-3,-1,-2,1
117923658686,-2,0,-3,1,1,-2,-1,4
117923658686,1,0,-10,1,3,-2,2,1
117923680328,1,1,3,-3,-5,0,0,-1
117923680328,1,-2,-1,0,-1,0,-2,3
117923681116,2,53,6,1,0,-1,0,1
117923681116,-2,2,2,-3,-1,1,0,1
117923694668,-3,-10,-18,2,0,-1,-1,2
117923694668,3,5,8,-2,1,0,-3,-10
117923702173,-1,-21,10,-2,-2,-3,-4,-3
117923702173,-2,0,-11,1,-5,-1,-1,-1
117923717914,-5,11,7,-9,5,2,2,4
117923717914,-4,1,-6,4,-1,0,1,-5
117923718763,1,-10,11,-6,-5,-1,-3,-1
117923718763,6,2,-16,-1,-2,-2,0,-1
117923740378,-6,-17,-16,2,-2,-4,-4,-4
117923740378,1,-1,14,1,-3,-3,-1,2
117923741164,-3,-16,-17,3,-1,-1,-1,-4
117923741164,3,2,5,-11,-5,-1,1,1
117923754704,1,8,22,6,4,1,-2,-4
117923754704,-2,-2,-46,-9,-3,-1,-1,1
117923762306,-1,1,1,4,-1,-1,-1,-1
117923762306,-2,-6,-7,-2,-1,0,0,1
117923777836,0,-7,1,5,-4,-3,-2,-3
117923777836,-3,-3,8,0,5,1,0,2
117923778719,-1,-6,-5,-12,-4,-1,0,-3
117923778719,-5,-5,-6,-4,-1,-2,-3,-1
117923800372,-1,0,-2,1,-3,-3,0,-3
117923800372,1,1,13,6,-3,-2,-1,0
117923801134,-3,-5,-20,1,7,0,-1,-3
117923801134,0,-2,7,-4,-2,0,0,0
117923816172,2,6,-1,-7,-8,-3,-3,2
117923816172,3,4,18,2,-3,-1,1,0
117923822312,-15,-13,-29,1,-2,0,-3,-2
117923822312,2,1,15,-6,-2,1,-2,0
117923837988,1,-4,-17,5,4,1,2,2
117923837988,1,1,2,-1,-2,0,0,2
117923838638,0,-4,3,-6,-3,0,-2,-8
117923838638,-1,3,8,9,2,-2,-1,-1
117923860354,0,-1,-18,-4,-5,0,-1,2
117923860354,0,10,10,-4,0,-1,0,2
117923861102,0,-15,2,6,1,1,0,0
117923861102,-5,1,-16,-4,-5,-2,-2,-3
117923882967,2,3,3,2,5,1,-2,-3
117923882967,-2,-1,4,-1,-4,-3,-1,-1
117923883668,1,5,1,-3,-1,0,-2,1
117923883668,-2,-2,14,0,-1,-2,-1,-1
117923897879,-3,-4,-46,0,0,-3,-3,-3
117923897879,-4,-6,1,5,1,1,1,-2
117923898639,1,0,5,-6,-6,-2,0,2
117923898639,1,-3,1,3,8,0,-1,0
117923920298,0,5,20,-1,-4,-1,-3,-2
117923920298,-4,-4,-12,-4,1,-3,-3,-2
117923921146,2,2,0,7,2,-1,0,2
117923921146,-1,-1,0,5,-2,-1,1,0
117923942861,1,3,6,-11,-1,-1,-2,-5
117923942861,-2,-15,-20,0,-1,-2,0,1
117923943621,5,5,7,-2,0,1,0,0
117923943621,-4,-1,-6,-3,2,1,0,4
117923957600,1,0,-12,1,0,0,0,-2
117923957600,0,-1,9,-3,-4,-2,-1,-8
117923965390,0,3,4,-2,-1,-3,-1,3
117923965390,-1,-1,-8,0,-1,-1,-1,-3
117923980466,-3,-7,6,-3,-4,-3,-4,0
117923980466,-4,1,2,-5,-2,0,0,-1
117923981151,2,2,-12,3,3,-2,-1,-2
117923981151,-2,0,13,-4,-2,-2,-1,-3
117924002799,-2,-1,4,2,-1,-1,0,0
117924002799,0,1,2,-2,-2,-2,-1,3
117924003580,-2,0,6,5,-2,0,-1,-2
117924003580,2,2,13,-12,-7,-2,0,-1
117924019457,-7,-11,-38,-14,3,-1,0,0
117924019457,-1,-5,7,2,-3,-3,0,0
117924020218,-1,1,-3,1,-3,-1,-1,-8
117924020218,2,5,-1,3,-2,0,-3,4
117924039698,2,-7,17,8,4,0,1,6
117924039698,-3,1,-6,-7,1,-1,-8,-14
117924047901,-1,0,3,-3,-3,-1,1,2
117924047901,2,-1,-13,3,4,-1,0,-2
117924062930,4,7,21,-6,-6,0,1,2
117924062930,-2,-3,-23,-2,3,1,0,4
117924063716,-1,-3,4,1,-4,-1,-2,-3
117924063716,0,1,-8,-7,-3,-2,-2,-5
117924085852,-2,-2,5,5,2,0,0,-1
117924085852,-2,-3,31,2,-2,-3,0,-1
117924086504,-4,-3,-23,4,0,0,-1,-2
117924086504,-6,-4,-11,2,1,-2,1,0
117924108519,-1,4,1,-13,-10,0,0,-2
117924108519,1,3,11,-1,4,-1,1,1
117924109294,-3,-6,1,-4,-5,-1,0,1
117924109294,-1,-4,-19,-2,1,-2,-3,-1
117924130195,0,3,10,7,1,-3,-1,-3
117924130195,0,3,-12,0,-6,-2,-1,1
117924137874,-2,-2,-1,-4,4,0,-1,-1
117924137874,-1,-2,-10,-1,-3,0,-2,-2
117924153507,3,1,6,-1,-3,-1,1,2
117924153507,-16,-12,-14,-4,-3,-4,0,1
