timestamp,x,y,z
117367095444,1.3125,-0.25,0.25
117367118007,3.3125,-0.0625,0.75
117367133037,2.75,0.125,1.375
117367163539,-1.1875,0.0625,1.75
117367177981,-1.4375,-0.1875,1.9375
117367194264,1.625,-0.5,1.4375
117367216756,2.6875,-0.5,0.9375
117367238168,2.875,-0.125,0.75
117367307953,0.3125,0.125,0.5625
117367308743,-2.125,-0.3125,0.5
117367309587,-1.375,-0.5,-0.1875
117367352993,5.4375,-1.0625,-0.875
117367357920,3.6875,-0.9375,-1.0625
117367370990,-1.3125,-0.875,-1.3125
117367405850,-3.9375,-0.6875,-1.3125
117367411763,-1.375,-0.9375,-2.125
117367455249,0.9375,-1,-2.75
117367465554,2.5625,-1.125,-3
117367471853,1.8125,-0.6875,-2.625
117367487445,-2,-0.6875,-1.875
117367509209,-3.1875,-1.125,-1.8125
117367539864,0.9375,-0.875,-1.375
117367554211,1.25,-0.75,-1.375
117367577339,-3.125,-0.75,-1.375
117367599971,-3.0625,-0.6875,-1.9375
117367614208,-0.1875,0.125,-2
117367637420,-1.875,0.375,-2.0625
117367660014,-4.25,0.25,-2.25
117367674236,1.25,0,-2.0625
117367697546,4.625,0.125,-2.1875
117367719999,0.875,0,-1.25
117367734288,-1.875,-0.1875,-0.3125
117367757468,-0.8125,-0.375,0.1875
117367779905,0.5,-0.3125,-0.125
117367801167,2.6875,-0.625,0.125
117367817355,2.5,-0.3125,0.5
117367839904,-2.375,-0.3125,0.25
117367861193,-3.3125,-0.4375,0.375
117367877513,2.625,-0.5625,-0.5625
117367906135,6.8125,-0.4375,0.0625
117367921071,0.875,-0.25,0.375
117367927938,-5.75,-0.125,0.625
117367950272,-3.1875,-0.375,0.8125
117367965253,0.875,-0.375,0.3125
117367987792,-0.3125,-0.4375,0
117368010237,-3.0625,-0.4375,-0.125
117368028162,-1.25,-0.4375,-0.0625
117368047878,1.3125,-0.6875,-0.4375
117368070415,1.875,-0.875,-0.5625
117368085378,-0.125,-0.9375,-1
117368107882,-1.25,-0.6875,-1.5
117368130391,-1.1875,-0.625,-1.9375
117368145454,-0.8125,-0.875,-1.8125
117368176711,-2.8125,-1.125,-2.125
117368190273,-3.5625,-0.875,-2.125
117368212877,-0.9375,-0.6875,-1.6875
117368227738,-0.3125,-0.625,-1.75
117368250311,-1.375,-0.8125,-1.4375
117368265406,-0.25,-0.875,-1.5625
117368287864,3.25,-0.5625,-1.375
117368310258,4.375,-0.1875,-0.875
117368325329,-0.4375,0,-0.75
117368347780,-4.1875,-0.125,-0.25
117368370397,-1.4375,0,0
117368394420,1.125,-0.0625,-0.5
117368416548,0.375,0.0625,-0.625
117368430236,0.25,0.0625,-0.8125
117368446704,0.6875,0.125,-0.375
117368475202,-1.875,0,-0.375
117368490243,-2.9375,-0.6875,-0.3125
117368508231,0.875,-0.5,-0.3125
117368527705,3,-0.25,0
117368550374,0.6875,-0.25,0.375
117368566839,-2,-0.625,0.125
117368587805,-0.5625,-0.8125,0.1875
