timestamp,x,y,z
117646179002,-0.118652,-0.791992,0.64209
117646203988,-0.139648,-0.816406,0.648926
117646217768,-0.126465,-0.789551,0.66748
117646238890,-0.155762,-0.72168,0.675781
117646262602,-0.195801,-0.716797,0.691895
117646316150,-0.179688,-0.723633,0.712891
117646316735,-0.147461,-0.72998,0.69873
117646323244,-0.126953,-0.741211,0.688965
117646338453,-0.129883,-0.742188,0.679199
117646359616,-0.112305,-0.725586,0.695801
117646381553,-0.112305,-0.712891,0.690918
117646396605,-0.111328,-0.736816,0.679199
117646444119,-0.0844727,-0.757324,0.665527
117646444699,-0.0893555,-0.764648,0.666992
117646456859,-0.0976562,-0.759277,0.660156
117646479551,-0.104004,-0.728027,0.654785
117646495806,-0.101074,-0.702148,0.646973
117646518461,-0.110352,-0.732422,0.643555
117646540838,-0.112305,-0.753906,0.656738
117646555954,-0.110352,-0.736328,0.666504
117646584529,-0.106934,-0.720703,0.662598
117646601039,-0.105957,-0.744141,0.664062
117646615982,-0.0981445,-0.781738,0.666504
117646638284,-0.0996094,-0.773926,0.662598
117646660817,-0.0942383,-0.73291,0.664551
117646683303,-0.105469,-0.748047,0.666992
117646698333,-0.0859375,-0.767578,0.665527
117646720813,-0.0751953,-0.743164,0.664551
117646735134,-0.0844727,-0.728027,0.670898
117646759763,-0.081543,-0.72998,0.674316
117646781016,-0.0678711,-0.758789,0.672852
117646795120,-0.0766602,-0.76123,0.672852
117646818358,-0.0722656,-0.738281,0.666992
117646840892,-0.0693359,-0.720703,0.674805
117646861931,-0.0854492,-0.736816,0.676758
117646878266,-0.065918,-0.753418,0.683105
117646900812,-0.0634766,-0.740723,0.683594
117646915141,-0.074707,-0.709473,0.678223
117646938347,-0.0786133,-0.707031,0.680664
117646967007,-0.0742188,-0.737793,0.674805
117646975297,-0.0634766,-0.731934,0.683105
117646998372,-0.0830078,-0.731445,0.686523
117647020938,-0.0786133,-0.732422,0.681152
117647043211,-0.0708008,-0.740723,0.687012
117647058284,-0.0698242,-0.730957,0.677734
117647080814,-0.0703125,-0.727539,0.680176
117647109337,-0.0761719,-0.741211,0.6875
117647118394,-0.0625,-0.753418,0.689941
117647140970,-0.0668945,-0.762695,0.696289
117647161936,-0.0693359,-0.771484,0.692871
117647178482,-0.0766602,-0.771484,0.694824
117647200906,-0.0722656,-0.757324,0.687988
117647221977,-0.0595703,-0.760254,0.675781
117647238462,-0.0551758,-0.771973,0.675293
117647260938,-0.0634766,-0.766602,0.663574
117647281834,-0.0717773,-0.739258,0.652344
117647298132,-0.0703125,-0.730957,0.632324
117647320817,-0.065918,-0.728027,0.630371
117647358832,-0.0649414,-0.758789,0.631348
117647361401,-0.0688477,-0.768066,0.630859
117647388316,-0.0727539,-0.745605,0.635254
117647403304,-0.0771484,-0.726074,0.638184
117647425891,-0.0717773,-0.739258,0.638184
117647448352,-0.0664062,-0.756348,0.640137
117647463282,-0.0722656,-0.740234,0.654297
117647500843,-0.0639648,-0.75293,0.651855
117647503161,-0.0649414,-0.763184,0.661133
117647546512,-0.0703125,-0.76709,0.67334
117647548929,-0.0644531,-0.758789,0.668945
117647566807,-0.0625,-0.759766,0.674805
117647590905,-0.0610352,-0.764648,0.685547
117647613381,-0.0644531,-0.788086,0.679688
117647635817,-0.0581055,-0.791504,0.690918
117647643477,-0.050293,-0.780762,0.679199
117647665894,-0.0463867,-0.757324,0.67041
117647686834,-0.0517578,-0.756348,0.670898
117647703276,-0.043457,-0.779785,0.667969
117647725880,-0.0454102,-0.778809,0.672363
117647746847,-0.046875,-0.762695,0.665039
117647770764,-0.0478516,-0.74707,0.655762
117647785822,-0.0551758,-0.733398,0.649414
117647823868,-0.0415039,-0.759766,0.625488
117647826398,-0.034668,-0.751953,0.617676
117647845835,-0.0341797,-0.69873,0.588379
117647867101,-0.0302734,-0.685547,0.584473
117647882678,-0.0595703,-0.812988,0.651367
117647905686,-0.0546875,-0.910156,0.70459
117647928371,0.0239258,-0.939941,0.693359
117647949485,0.000488281,-0.963867,0.678223
117647971894,-0.0214844,-0.949219,0.842773
117647988306,-0.0571289,-0.973145,1.00684
117648002661,-0.0258789,-1.06982,1.1167
117648025982,0.119629,-1.10205,1.0918
117648048267,0.231934,-0.994629,1.01172
117648062710,0.266602,-0.938477,0.991699
117648085859,0.212891,-0.846191,0.879395
117648108356,0.21875,-0.69043,0.827637
117648129490,0.165039,-0.633301,0.822266
117648145712,0.0683594,-0.592285,0.867188
117648168272,-0.0209961,-0.284668,0.741699
117648189370,-0.0878906,-0.0214844,0.728516
117648205919,-0.0913086,0.154297,0.75293
117648228258,-0.0571289,0.263672,0.705078
117648249460,0.0234375,0.44043,0.725586
117648265959,0.133301,0.477051,0.715332
117648288268,0.286133,0.546387,0.727539
117648309690,0.255859,0.667969,0.69043
117648325851,0.224121,0.68457,0.663086
117648348243,0.197754,0.505859,0.718262
117648369311,0.150391,0.349121,0.818848
117648385778,0.0493164,0.336426,0.801758
117648408281,-0.135742,0.425293,0.785645
117648429443,-0.254395,0.431641,0.839355
117648445744,-0.243652,0.337402,0.930664
117648468297,-0.188477,0.33252,0.923828
117648489335,-0.167969,0.321289,0.942383
117648505829,-0.145996,0.246094,0.981934
117648528282,-0.078125,0.179688,1.02832
117648549317,-0.0332031,0.163574,1.05469
117648565796,-0.0839844,0.171875,1.04395
117648588254,-0.124023,0.254883,1.02832
117648609277,-0.126953,0.296875,1.01123
117648625748,-0.11084,0.209473,1.00391
117648648247,-0.0854492,0.117676,1.02246
117648670729,-0.0878906,0.178223,0.98584
117648685787,-0.0996094,0.289551,0.968262
117648708248,-0.101074,0.339844,0.928711
117648729303,-0.0869141,0.259766,0.953125
117648745085,-0.0922852,0.209961,0.972656
117648768292,-0.0942383,0.254395,0.964844
117648789364,-0.0742188,0.316895,0.950684
117648805760,-0.0571289,0.298828,0.932129
117648828242,-0.0371094,0.25293,0.942383
117648849339,-0.0498047,0.249512,0.940918
117648865782,-0.0444336,0.268066,0.946777
117648888264,-0.0327148,0.276367,0.950195
117648926286,-0.0273438,0.255371,0.950684
117648928643,-0.0463867,0.247559,0.95459
117648948278,-0.0356445,0.258789,0.975098
117648970733,-0.0229492,0.280273,0.977539
117648985821,-0.0517578,0.29541,0.943359
117649008943,-0.0751953,0.262207,0.944824
117649030808,-0.0478516,0.243652,0.963867
117649045752,-0.0532227,0.263184,0.959961
117649068270,-0.059082,0.275391,0.937012
117649090731,-0.0732422,0.269531,0.933105
117649105062,-0.0708008,0.279785,0.933594
117649128274,-0.0551758,0.271484,0.958984
