timestamp,x,y,z
12900435934,-58.5625,14.75,0
12900441269,-61.625,16.8125,2.25
12900463783,-50.375,17.625,4.8125
12900478826,-32.0625,22.1875,8.9375
12900501262,-13.6875,27.5625,16.0625
12900523842,0,31.0625,22.4375
12900538931,16.1875,31.0625,22.375
12900561317,33.375,25,17.625
12900583846,35.0625,14.3125,7.0625
12900598895,17,5.125,8.875
12900621319,-9.5625,-2.0625,14.5
12900643824,-7.875,-8.6875,15.4375
12900658884,15.1875,-9.9375,13.5
12900681431,27.0625,-6.375,8.8125
12900703813,16,-4.125,4.5
12900718787,0.1875,0.4375,0.625
12900741357,0.5,5.375,-2
12900763784,-3.3125,8.8125,-4.5625
12900778880,-16.25,8.5625,-5.9375
12900801285,-21.9375,6.6875,-6.3125
12900826791,-16.875,4.9375,-5.25
12900838850,-5.75,1.8125,-4.3125
12900861253,3.625,-0.375,-3.25
12900883850,9.3125,-3.1875,-2.5625
12900898851,11.25,-4.375,-3.0625
12900921482,9.125,-4.125,-3
12900939388,7.0625,-2.125,-2.5625
12900958846,9.6875,-0.5,-2.5625
12900981292,9.1875,2.5,-2.875
12900999166,5.8125,4.4375,-2.5
12901018755,1.5625,5.9375,-2.3125
12901041280,0.3125,6.1875,-1.0625
12901059218,0.125,4.9375,0.125
12901078733,-1.75,5.5625,2.375
12901101471,-0.4375,5.25,4.0625
12901119179,3.4375,4.375,4.1875
12901141646,6.0625,4.375,3.5625
12901161407,4.6875,4.3125,2.4375
12901179184,0.75,3.75,1.0625
12901198928,-1.875,2,-0.5
12901221254,-0.125,0.75,-1.1875
12901239240,2.1875,0.5625,-1.3125
12901258810,1.3125,1.3125,-1.375
12901281340,0.8125,1.125,-1.3125
12901299211,-0.8125,0.5625,-1.5
12901318828,-2.8125,0.0625,-1.125
12901341319,-2.0625,0.0625,-0.375
12901359188,-2.375,0.5,0.5625
12901378845,-4.25,0.6875,1.3125
12901401277,-0.5625,1.1875,1.9375
12901423737,1.6875,1.5625,1.8125
12901438770,-0.5,1.75,1.375
12901461326,-1.8125,1.1875,0.5625
12901479176,-1.5,0.5,0.9375
12901498817,0.6875,0.625,1.125
12901521365,2.0625,1.125,1.5625
12901543861,-0.75,1.375,1.8125
12901560201,-2.875,0.625,1.625
12901581319,-2.0625,0.125,1.25
12901603824,0.75,-0.4375,1.1875
12901620205,1.0625,-1.6875,0.8125
12901641400,0.1875,-2.8125,0.1875
12901663709,0.125,-3.375,0.25
12901680218,-0.25,-2.8125,-0.0625
12901701210,1.4375,-2.5,-0.5625
12901723832,2.5,-2.5,-0.4375
12901740176,-0.125,-1.9375,-0.25
12901761294,-1.0625,-1.625,-0.3125
12901783842,0.5,-1,-0.25
12901800140,0.9375,-1,-0.5625
12901821262,2.1875,-0.9375,-1.0625
12901843935,1.3125,-1.3125,-1.5625
12901861759,-0.125,-1.1875,-2.125
12901881358,-0.4375,-0.875,-2.4375
12901903846,-2,-0.625,-2.8125
12901921685,-1.6875,-0.0625,-2.75
12901941244,0.875,0.625,-2.5
12901963946,1.4375,0.9375,-1.9375
12901981670,0.5,0.6875,-1.25
12902001472,1.125,0.125,-0.75
12902023683,2.3125,0.375,0
12902041709,1.875,0.8125,0.9375
12902061180,2.75,1.875,1.75
12902083809,2.5625,2.4375,1.8125
12902101682,-0.8125,2.4375,1.625
12902121233,-1.5625,1.9375,1.875
12902143787,0.875,1.5625,2.125
12902161597,2.25,1,2.0625
12902181168,2.0625,0.75,2.25
12902203711,1.6875,0.9375,1.8125
12902221575,-0.3125,0.75,1.375
12902241338,-0.5625,0.375,0.6875
12902263869,0.8125,0.6875,0.25
12902281621,-0.25,1.0625,0.125
12902302649,-1.4375,1.1875,-0.0625
12902323893,-0.8125,0.9375,0.1875
12902341604,1.1875,0.5,-0.1875
12902361326,0.75,0.1875,-0.3125
12902383916,0.8125,-0.125,-0.625
12902401665,1,0.9375,-1
12902421316,-0.875,1.1875,-1.0625
12902443776,-1.125,1.0625,-1.1875
12902461675,0.25,1.1875,-1.125
12902482610,0.9375,0.5625,-0.9375
12902503823,1.125,0.4375,-0.75
12902521619,0.4375,0.125,-0.625
12902542628,0.875,-0.1875,-0.375
12902563707,1.5625,0.0625,-0.3125
12902581658,1.8125,0.375,-0.625
12902604122,0.125,0.5,-0.9375
12902623808,-0.5,-0.0625,-0.5
12902641667,1.8125,-0.0625,-0.3125
12902662608,4.4375,0.1875,-0.125
12902683772,2.75,0.25,-0.5625
12902701554,0.4375,0.3125,-0.875
12902722653,1,0.75,-0.9375
12902743883,1.3125,1.5625,-1.5
12902761676,0.8125,2.5,-1.0625
12902784214,0.5,2.75,-0.75
12902803860,1.5625,2.75,-1.0625
12902821672,1.9375,1.875,-1.3125
12902844225,-0.0625,1,-1.3125
12902863770,-0.75,0.75,-1.5625
12902881617,1.6875,0.625,-2.0625
12902904111,2,0.6875,-2.375
12902923778,-0.1875,0.0625,-2.625
12902941695,-1,-0.8125,-2.5625
12902964177,-1.25,-1.125,-2.1875
12902983855,0,-1.125,-1.5625
12903001676,2.375,-0.625,-1.5
12903024238,2.5,-0.1875,-0.875
12903043644,1.1875,-0.4375,-0.4375
12903063676,0.875,-0.1875,0.125
12903084042,1.9375,0.25,0.5625
12903103665,1.5,0.75,0.875
12903121606,1.625,1.1875,0.8125
12903144030,1.4375,1.6875,0.625
12903164281,1,1.6875,0.75
12903180768,-0.4375,1.75,0.5
12903203203,0.3125,1.75,0.5
12903224298,1.25,1.6875,0.625
12903240720,0.5625,1.75,0.625
12903270779,1.125,1.9375,0.4375
12903284160,0.9375,1.5625,0.3125
12903300781,0,1.3125,0.625
12903323266,0.8125,1.3125,0.4375
12903344506,1.1875,0.75,1.1875
12903360771,3.125,-1.1875,3.3125
