timestamp,x,y,z
117367095444,0.118164,-0.785645,0.639648
117367118007,0.122559,-0.775879,0.635254
117367133037,0.118164,-0.754883,0.626465
117367163539,0.114258,-0.754883,0.628906
117367177981,0.110352,-0.770508,0.634766
117367194264,0.117676,-0.767578,0.626465
117367216756,0.111816,-0.767578,0.626465
117367238168,0.112793,-0.751953,0.632324
117367307953,0.118164,-0.740234,0.621582
117367308743,0.10791,-0.756348,0.633301
117367309587,0.109375,-0.771484,0.628418
117367352993,0.110352,-0.756348,0.634766
117367357920,0.109375,-0.736328,0.62207
117367370990,0.104004,-0.73877,0.628906
117367405850,0.112305,-0.766113,0.630859
117367411763,0.108887,-0.776367,0.638672
117367455249,0.104492,-0.769043,0.633301
117367465554,0.112793,-0.765137,0.634766
117367471853,0.119141,-0.746582,0.635254
117367487445,0.108398,-0.751953,0.640137
117367509209,0.108887,-0.781738,0.643066
117367539864,0.118652,-0.772949,0.635254
117367554211,0.115234,-0.73877,0.629883
117367577339,0.110352,-0.766113,0.634766
117367599971,0.112793,-0.788086,0.635742
117367614208,0.119629,-0.765137,0.631348
117367637420,0.117188,-0.746094,0.626953
117367660014,0.108887,-0.788574,0.635254
117367674236,0.123047,-0.797852,0.631836
117367697546,0.121582,-0.765137,0.630371
117367719999,0.117676,-0.751465,0.633789
117367734288,0.115723,-0.763184,0.633789
117367757468,0.119629,-0.780762,0.632324
117367779905,0.113281,-0.777344,0.632812
117367801167,0.125488,-0.772949,0.625488
117367817355,0.130371,-0.749023,0.626465
117367839904,0.111328,-0.756348,0.630859
117367861193,0.108398,-0.791016,0.637695
117367877513,0.115723,-0.793945,0.632324
117367906135,0.121582,-0.744629,0.625488
117367921071,0.120605,-0.730469,0.62793
117367927938,0.109375,-0.767578,0.638184
117367950272,0.117188,-0.791016,0.635254
117367965253,0.120605,-0.757324,0.631348
117367987792,0.111328,-0.741699,0.630371
117368010237,0.114746,-0.76123,0.635254
117368028162,0.12207,-0.777832,0.628906
117368047878,0.109375,-0.761719,0.632812
117368070415,0.112793,-0.747559,0.625488
117368085378,0.119141,-0.750488,0.630371
117368107882,0.111816,-0.76709,0.622559
117368130391,0.115723,-0.769043,0.628906
117368145454,0.120117,-0.750488,0.632324
117368176711,0.112305,-0.754883,0.636719
117368190273,0.109863,-0.775879,0.634277
117368212877,0.115723,-0.775879,0.633301
117368227738,0.120605,-0.758301,0.631348
117368250311,0.112305,-0.766113,0.634766
117368265406,0.118652,-0.790039,0.636719
117368287864,0.115723,-0.787598,0.634766
117368310258,0.124023,-0.754395,0.640137
117368325329,0.121094,-0.751465,0.628906
117368347780,0.113281,-0.780273,0.639648
117368370397,0.121094,-0.78418,0.636719
117368394420,0.119141,-0.761719,0.625488
117368416548,0.116699,-0.765137,0.628906
117368430236,0.116211,-0.772949,0.627441
117368446704,0.119141,-0.755859,0.624512
117368475202,0.119629,-0.753906,0.627441
117368490243,0.110352,-0.783203,0.627441
117368508231,0.115234,-0.780273,0.62793
117368527705,0.115723,-0.759766,0.633301
117368550374,0.123535,-0.751465,0.620117
117368566839,0.111816,-0.775879,0.624023
117368587805,0.113281,-0.778809,0.628418
117368610319,0.114258,-0.771973,0.628418
117368626802,0.120605,-0.747559,0.623047
117368647819,0.119629,-0.748047,0.624512
117368670333,0.115723,-0.760742,0.630371
117368688339,0.110352,-0.766113,0.630859
117368710611,0.112793,-0.763672,0.625977
117368730421,0.120605,-0.757324,0.625488
117368748315,0.118652,-0.746094,0.632812
117368767929,0.114746,-0.768066,0.633301
117368790407,0.11084,-0.789551,0.637207
117368808164,0.120605,-0.761719,0.632324
117368827684,0.122559,-0.73584,0.629395
117368850307,0.12207,-0.748535,0.63623
117368875686,0.11377,-0.789062,0.636719
117368887761,0.115723,-0.789551,0.643555
117368917896,0.12793,-0.734863,0.63623
117368932780,0.121582,-0.731934,0.635742
117368947896,0.114258,-0.783691,0.639648
117368987402,0.117188,-0.785645,0.649414
117368989727,0.129395,-0.739746,0.63623
117369016752,0.119629,-0.735352,0.635254
117369030433,0.124512,-0.802246,0.646484
117369048347,0.134277,-0.812988,0.644531
117369067881,0.153809,-0.745117,0.636719
117369090431,0.141113,-0.722656,0.645508
117369108372,0.115234,-0.793457,0.675293
117369135246,0.137695,-0.857422,0.696777
117369150378,0.167969,-0.848633,0.713379
117369168201,0.135742,-0.806641,0.77002
117369187770,0.105469,-0.853516,0.796387
117369210234,0.104004,-0.998535,0.84082
117369228130,0.13916,-1.16016,0.928711
117369247837,0.137207,-1.15625,0.983398
117369270209,0.208008,-0.962402,0.974121
117369288260,0.233887,-0.791992,0.98291
117369307902,0.274902,-0.763184,1.00439
117369337866,0.326172,-0.63623,1.00488
117369348285,0.30127,-0.528809,0.999023
117369369301,0.327148,-0.581055,0.976562
117369390376,0.347656,-0.600586,0.939941
117369408161,0.3125,-0.591797,0.916504
117369429186,0.307129,-0.599609,0.861816
117369450214,0.27002,-0.533691,0.864258
117369472703,0.174316,-0.421875,0.808594
117369490605,0.0932617,-0.214844,0.708496
117369510179,0.00244141,-0.103027,0.85791
117369532708,0.0244141,-0.0756836,0.714355
117369549158,0.102051,0.117188,0.740723
117369570192,0.146484,0.36084,0.605469
117369588083,0.236816,0.57666,0.404785
117369609166,0.256836,0.96582,0.381836
117369630210,0.385742,0.907227,0.356934
117369648162,0.568359,0.642578,0.539062
117369669136,1.41504,1.45947,0.100098
117369690207,0.151855,0.982422,-0.407715
117369712763,-0.0327148,0.362793,0.745117
117369730666,-0.0141602,0.420898,1.14355
117369753117,-0.302734,0.109863,1.07031
117369772670,-0.382324,-0.124023,1.10254
117369791216,-0.341309,-0.0317383,1.15039
117369810276,-0.320801,0.149902,1.09619
117369832705,-0.188477,0.131348,1.0957
117369850651,-0.0922852,0.0922852,1.15039
