timestamp,x,y,z
12778797801,-0.5,1.1875,0.4375
12778820457,-0.6875,0.4375,0.875
12778834590,0.25,-0.1875,1
12778857750,0.9375,-0.4375,0.625
12778880246,-0.8125,-0.25,0.25
12778894642,-1.1875,0.25,0.125
12778917756,1.1875,-0.1875,0.125
12778940240,0.1875,-0.4375,0.125
12778954569,-0.8125,-0.6875,0.125
12778977771,1.0625,-0.8125,0.0625
12779007762,1.3125,-0.875,-0.3125
12779021263,0.9375,-1.0625,-0.25
12779037754,-0.5625,-0.8125,-0.3125
12779060268,-1.75,-0.9375,-0.5625
12779081460,-0.5625,-0.6875,-0.8125
12779097710,0.75,-0.5,-0.625
12779120364,-1.0625,-1,-0.8125
12779141293,0.25,-1.75,-0.9375
12779165209,0.0625,-1.8125,-0.9375
12779180210,-0.625,-1.6875,-1.1875
12779201289,-0.3125,-1.1875,-1.125
12779217716,-1.25,-0.375,-1
12779240205,-0.8125,-0.25,-0.375
12779261291,-0.0625,-0.0625,0
12779277752,0.125,0,0.0625
12779300217,-0.625,-0.1875,-0.125
12779321295,-1.375,-0.125,-0.375
12779337675,-1.875,-0.0625,-0.3125
12779360242,-0.5,-0.1875,-0.1875
12779381266,-0.3125,-0.5,-0.125
12779397717,-1.4375,-1,0.1875
12779420298,-1.3125,-1.0625,0.375
12779441322,-0.125,-1.5625,0.5
12779457784,0,-2.125,0.5625
12779480172,-1.1875,-2.1875,0.5
12779502757,-1.6875,-1.625,0.0625
12779517716,-1,-1.3125,-0.0625
12779540266,-0.1875,-1.375,0
12779562746,-0.75,-1.125,-0.125
12779577699,-0.875,-0.4375,-0.25
12779600286,-1.3125,0,-0.375
12779622721,-0.8125,0.0625,-0.4375
12779637069,0.0625,0.5625,-0.5625
12779660266,-0.5625,0.375,-0.4375
12779682730,-1.4375,0.5,-0.5
12779697064,-0.375,1,-0.6875
12779720229,-0.4375,0.9375,-0.5
12779742751,-1.125,0.4375,-0.25
12779757080,-0.5,0.125,-0.0625
12779780195,-0.0625,0.5,-0.125
12779802761,-1.5,0.4375,0.0625
12779817077,-1.5,0.125,0.125
12779840186,-0.625,0.1875,0.0625
12779862722,0.1875,-0.0625,0.25
12779877100,0.875,-0.5,0.5
12779900238,1.0625,-1.125,0.5625
12779922722,0.125,-1.4375,0.0625
12779937116,1.3125,-1.6875,-0.3125
12779960275,-1.0625,-1.25,0.5
12779982734,-1.5,-0.875,0.8125
12780003783,1.875,-0.375,1.1875
12780020211,1.3125,0.4375,0.9375
12780042688,-2.1875,0.25,1.1875
12780063750,-0.375,-0.1875,1.3125
12780080266,1,-0.625,1.25
12780102720,0.9375,-1,0.9375
12780123796,-1,-0.1875,0.75
12780140192,-1.25,0.1875,0.375
12780162736,-0.1875,0.4375,0.1875
12780183914,1.25,-0.1875,0.125
12780200221,0.6875,-0.6875,0.3125
12780222738,-0.6875,-0.625,0.375
12780243778,-0.5,-0.3125,0.375
12780260188,0.9375,0.125,0.1875
12780282717,1,0.625,0.0625
12780303763,-1.0625,0.25,0.375
12780320362,-0.875,-0.125,0.4375
12780342728,0,-0.5625,0.25
12780363867,0.1875,-0.9375,0.25
12780380222,0.625,-1,0.375
12780402702,0.5,-0.8125,0.4375
12780425189,-0.4375,-1,0.1875
12780440244,-0.6875,-0.9375,0.5625
12780462679,0.625,-0.875,0.375
12780485220,0.5625,-0.9375,0.125
12780500175,-1.125,-0.75,-0.125
12780522703,-0.75,-0.625,-0.1875
12780545212,1.25,-1.125,-0.375
12780560201,1.25,-1.0625,-0.5625
12780582712,-0.375,-0.875,-0.4375
12780605203,-0.8125,-0.625,-0.1875
12780619591,1.3125,-0.25,-0.125
12780642688,3.3125,0.0625,-0.125
12780665227,-0.5,0.125,-0.125
12780679570,-1.4375,0.5625,-0.375
12780702698,2.3125,0.625,-0.5
12780725194,1.4375,-0.125,-0.3125
12780739518,-0.75,-0.6875,-0.375
12780762685,1,-0.1875,-0.3125
12780785179,0.75,0.125,-0.75
12780799551,-0.125,0.75,-0.8125
12780822659,-1.25,0.875,-0.375
12780845246,-0.4375,0.3125,0.0625
12780859534,1.125,-0.1875,0.0625
12780882736,1.4375,-0.4375,0.375
12780905120,0.625,-0.25,0.1875
12780926343,0.25,-0.5625,-0.125
12780942680,0.6875,-0.4375,-0.4375
12780965137,-0.0625,-0.9375,0.0625
12780986296,1.375,-1.6875,0.875
12781003544,4.5,-2.625,2.5
