timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
12966425291,0,8,-21,1,-2,-2,-1,-2
12966425291,-2,4,33,2,-6,-1,0,-2
12966427151,0,6,-2,6,-1,-2,-1,-1
12966427151,-2,-4,-20,-20,-1,-2,-3,-2
12966447658,-8,-9,13,10,0,-1,-3,-4
12966447658,3,2,-2,-2,2,0,-2,-1
12966449323,-1,-4,-10,3,-3,-2,-1,-2
12966449323,-1,-3,-2,-1,-2,0,1,-1
12966462100,3,-1,8,-2,-1,2,0,1
12966462100,-1,-3,9,7,-1,0,0,0
12966468947,-2,-6,8,0,-1,-1,-1,-1
12966468947,0,-4,0,-2,-2,-1,-2,-2
12966485340,-2,-7,-4,-12,-2,-2,-2,-3
12966485340,-2,2,-1,2,-2,-1,0,-1
12966486891,-1,-7,1,9,-2,-2,0,0
12966486891,1,-7,-7,-15,-3,-2,-1,-1
12966507715,1,30,27,12,1,-1,-1,-1
12966507715,-6,-10,-26,-28,-3,0,-1,-2
12966509320,0,1,2,-4,0,-2,-1,-1
12966509320,-1,-7,10,-1,-7,-3,-3,-3
12966522082,-1,-2,8,13,-1,0,-1,0
12966522082,-2,-14,-16,-1,-2,-3,-2,-1
12966528929,0,0,-12,-9,1,1,0,0
12966528929,-1,0,0,9,0,-3,0,-1
12966552783,1,-4,-4,-3,0,-1,1,0
12966552783,2,7,11,6,0,-3,-2,-2
12966554306,-2,-12,-1,-11,-4,-2,-1,-2
12966554306,-1,1,-9,2,-2,0,-2,-1
12966567743,-4,-14,-18,-4,-2,-1,0,-1
12966567743,1,8,21,9,-1,-2,-2,-1
12966569381,-1,0,-6,-9,0,0,-1,-1
12966569381,0,1,-9,-2,1,1,-1,-1
12966582056,0,-3,16,1,-2,-2,-1,-1
12966582056,-3,-3,-16,-20,-3,-2,-2,0
12966588843,-2,4,2,5,0,-2,0,-1
12966588843,-4,-23,-6,2,-2,-2,-2,-2
12966605256,3,-3,-16,-1,1,0,1,1
12966605256,-2,-6,-10,1,-4,-4,-1,-2
12966606806,1,-2,11,-3,-1,-1,-2,-1
12966606806,-15,-2,-9,0,-2,0,1,-3
12966627710,-1,-2,5,-2,1,-2,-2,-2
12966627710,2,2,-6,4,2,0,1,0
12966629276,-1,-2,-18,1,-2,0,0,0
12966629276,1,1,38,3,-1,-2,0,-1
12966642154,-1,5,-10,3,-2,-3,-2,-4
12966642154,-3,-5,-12,-10,0,1,-2,-1
12966648908,0,4,-4,5,-1,-1,-1,0
12966648908,4,10,-6,2,0,-1,1,0
12966665213,-2,-2,9,-24,-8,-1,-2,-2
12966665213,-1,1,3,9,0,-1,-1,0
12966666803,0,0,-5,-11,0,-2,0,-1
12966666803,0,-13,-12,7,2,-2,-2,1
12966687719,3,23,7,-3,1,0,1,1
12966687719,-2,0,16,4,-2,-2,-1,-2
12966689346,-1,-3,1,3,1,-1,-1,1
12966689346,-4,6,-14,-5,-2,1,-1,-4
12966702018,-2,-10,-15,-2,-1,0,-1,-2
12966702018,-1,-3,-19,-8,-2,-1,-1,-2
12966708916,-4,1,2,5,0,-2,-1,-3
12966708916,3,-1,-4,-6,0,1,0,0
12966725361,-3,-5,-12,4,0,-2,1,-2
12966725361,-1,8,31,8,3,1,-1,1
