timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
12778797033,-1,1,12,3,-4,-2,-2,-2
12778797033,0,-1,-12,8,-4,-1,1,-1
12778798686,-1,-3,1,-18,-3,-2,0,-1
12778798686,0,-2,-18,4,1,-1,-1,0
12778819520,-1,-4,23,-1,-1,-1,0,1
12778819520,-4,0,-10,8,-2,-2,-1,-4
12778821055,-1,-4,-46,-13,0,2,0,0
12778821055,-1,0,8,6,-3,-2,-2,-1
12778833879,-1,0,26,-4,1,-1,-1,-2
12778833879,1,0,6,0,0,0,0,0
12778840653,-2,0,19,6,-4,-1,-1,0
12778840653,-1,-2,-16,-5,0,0,1,-2
12778857044,-1,-3,-25,-8,-4,-1,-3,0
12778857044,1,3,22,7,2,1,0,-1
12778858696,-3,-3,1,-2,1,-1,-2,-3
12778858696,-2,-4,-2,-1,-3,-1,-2,-2
12778879410,1,-1,-19,-13,1,1,2,0
12778879410,-2,7,35,8,-2,-1,-2,0
12778881026,1,6,-8,-3,-1,0,-1,-1
12778881026,-3,-1,7,8,1,0,-2,0
12778894000,-2,1,-19,0,0,-2,-2,-2
12778894000,-1,-2,-2,-18,-2,-1,0,0
12778900632,1,2,-7,14,-2,-1,0,0
12778900632,-1,1,17,-6,0,-2,-3,-4
12778916964,0,-1,-6,0,1,1,0,-1
12778916964,0,-2,5,-3,-1,-3,-2,-2
12778918551,-1,-2,7,1,-3,-1,-1,0
12778918551,-1,-3,-24,-10,-5,-1,-2,-2
12778939556,-1,-2,3,2,-3,-2,-2,-1
12778939556,-1,-5,-2,1,-1,-2,-1,-1
12778941230,-1,-4,-1,8,2,-1,-2,0
12778941230,-1,1,16,-14,-3,-1,0,1
12778953804,-1,0,4,1,-1,-2,0,-2
12778953804,-1,0,-24,-7,0,-1,0,-1
12778960701,1,-1,25,17,-2,0,0,0
12778960701,-5,-2,-19,0,-5,-3,-4,-4
12778976899,-1,-3,-4,-11,-1,-1,-3,1
12778976899,0,2,7,8,2,0,-1,-1
12778978672,-1,-4,-2,-2,1,-1,0,-1
12778978672,0,3,-6,4,0,-1,-2,1
12779006936,-5,5,-12,-14,-5,-4,-2,-4
12779006936,-4,-5,-31,-11,-3,0,-1,-1
12779008546,0,0,6,-5,-2,-1,-1,-2
12779008546,1,1,-11,7,0,-2,-2,0
12779013148,-3,-5,18,4,0,-2,-1,0
12779013148,1,1,-1,1,0,-1,-3,1
12779022050,-1,1,9,7,0,1,0,-1
12779022050,0,-8,-29,-27,2,0,0,0
12779036956,-2,-4,-2,5,1,-1,-1,-2
12779036956,-5,-4,-1,-10,-6,-5,-2,-3
12779038703,-2,-4,0,1,-2,-2,-2,-1
12779038703,0,-3,-15,8,-2,2,-2,-1
12779059458,1,0,21,-4,1,-2,-1,1
12779059458,0,-3,-17,2,0,1,1,0
12779061050,1,3,-10,-7,1,-2,-3,-1
12779061050,-3,-5,13,13,2,-2,0,-3
12779073222,1,-2,-11,2,0,1,0,-1
12779073222,-1,0,23,2,0,0,-3,0
12779082066,-2,-2,-15,-11,-4,-2,-2,-2
12779082066,2,-1,-7,10,2,2,-1,1
12779096991,-8,-20,7,-3,-6,-4,-3,-3
12779096991,1,3,-1,0,-3,-3,-1,-2
12779098679,-3,-5,-14,-22,-2,0,0,-2
12779098679,0,4,36,2,1,0,0,-2
12779119650,0,2,-33,3,-1,0,-2,-2
12779119650,-2,-4,-3,-5,-1,0,-2,0
12779121153,-2,-1,14,1,-2,-2,-1,-1
12779121153,-1,-3,13,-2,-2,0,0,1
12779133176,0,2,-1,1,-2,0,-2,0
12779133176,-2,-1,18,10,1,-2,-1,-2
12779142075,-1,3,-26,-10,-1,-2,-2,-1
12779142075,0,-1,-2,2,1,1,0,-1
12779164526,0,0,-1,2,-2,0,0,0
12779164526,0,-1,-12,-4,-2,0,0,1
12779166190,-1,-5,23,2,-2,-1,-2,-1
12779166190,0,0,-16,14,-3,-2,0,1
12779179525,-3,-1,14,-22,1,-1,-1,-2
12779179525,2,3,1,8,-2,1,1,-2
12779181069,0,2,-14,-4,2,-3,-1,-1
12779181069,-4,-18,7,1,-3,-1,-1,-2
12779193211,1,3,-8,11,0,0,-1,-2
12779193211,-1,-1,2,-20,-1,1,0,-1
12779202162,0,-2,3,1,-4,-2,1,-1
12779202162,2,8,-23,3,-1,-3,-1,0
12779217037,0,0,22,3,-2,0,1,1
12779217037,-2,-3,-24,-10,-2,-3,-3,-4
12779218684,-2,1,7,0,0,1,-1,-1
12779218684,-1,0,8,-8,-3,1,0,-2
12779239503,0,0,-3,6,0,0,-1,0
12779239503,0,3,2,13,-3,-1,-2,-2
12779241141,1,-3,5,-16,-3,-3,-3,-1
12779241141,-2,3,-9,2,-1,-1,-1,0
12779253164,-1,1,14,-3,-2,-1,-2,0
12779253164,0,-4,-20,-2,-3,-3,-1,-1
12779262102,-1,-8,-1,4,-1,1,-2,-1
12779262102,-1,1,14,-6,-1,-3,-1,-1
12779277039,-1,1,-20,-8,-3,-2,0,0
12779277039,1,7,11,7,0,-1,0,0
12779278685,-6,-25,-5,7,-5,0,0,-2
12779278685,-1,3,-1,-11,-1,-1,-1,-1
12779299520,0,1,-24,2,1,-3,-1,0
12779299520,1,1,20,-5,0,-1,0,-1
12779301087,0,3,8,9,1,-1,1,0
12779301087,2,-1,-3,-7,-2,-1,-1,0
12779313194,0,-1,-7,-2,0,0,0,2
12779313194,-3,-3,15,3,-1,-3,-2,-2
12779322037,0,8,10,-1,1,-2,-1,-1
12779322037,-3,1,-6,1,-3,-2,-1,-3
12779336995,3,0,-1,3,-1,0,-1,-1
12779336995,-2,-6,-15,-16,-3,-3,-1,-2
12779338515,-1,-2,7,-1,-2,1,-1,0
12779338515,0,2,-17,1,0,0,-1,0
12779359549,-2,-3,7,-1,1,0,-2,-2
12779359549,0,1,6,5,-3,0,0,1
12779361198,-6,-2,6,-12,-2,-3,-2,-4
12779361198,-1,1,2,-2,-1,-1,-1,0
12779373132,2,-2,4,2,1,1,0,-1
12779373132,-3,-2,-20,-26,0,0,-1,0
12779382045,1,6,1,6,0,-1,-2,0
12779382045,-5,-27,6,5,-1,-1,-3,-3
12779397033,-1,1,3,-2,0,-3,0,-1
12779397033,1,0,15,3,0,1,-1,-1
12779398534,2,6,-36,-6,2,2,1,0
12779398534,0,3,38,4,0,0,-1,-1
12779419456,-2,-5,-29,-11,-2,-2,-3,-3
12779419456,-1,0,-4,3,-2,0,1,1
12779421090,2,-1,9,5,0,-2,-2,0
12779421090,3,6,-32,6,-1,0,0,2
12779433049,-4,0,47,-3,-2,-1,-3,-3
12779433049,-2,-4,-16,-7,-3,0,-1,-2
12779442027,0,0,-28,-3,-3,0,0,0
12779442027,1,2,19,12,0,-2,0,0
12779456904,-2,0,-4,-16,-1,0,-1,0
12779456904,-3,0,18,16,1,-1,-1,0
12779458544,-1,-3,-20,-4,1,-1,-2,-2
12779458544,0,3,5,-5,0,-1,0,0
12779479619,1,2,-6,0,0,0,1,-1
12779479619,-4,-8,0,0,-1,0,-1,-3
12779481137,0,5,20,10,-5,0,-2,0
12779481137,-1,7,-8,-11,-1,-4,-2,-3
12779502113,-3,-11,-13,2,-2,-2,0,0
12779502113,-1,-2,-12,-2,0,-2,-2,0
