timestamp,roll,pitch,yaw
117646179002,-0.925952,0.0616641,-0.771068
117646203988,-0.917481,0.0651088,-0.766171
117646217768,-0.9055,0.0676146,-0.762068
117646238890,-0.892404,0.0702222,-0.759084
117646262602,-0.882375,0.0731728,-0.757267
117646316150,-0.87511,0.0755608,-0.756509
117646316735,-0.87062,0.0774218,-0.756834
117646323244,-0.867975,0.0789538,-0.758272
117646338453,-0.865933,0.0805112,-0.760425
117646359616,-0.86321,0.0818392,-0.762466
117646381553,-0.860401,0.0829862,-0.763235
117646396605,-0.859486,0.084304,-0.763082
117646444119,-0.857852,0.0849598,-0.7623
117646444699,-0.853993,0.0861356,-0.761422
117646456859,-0.848238,0.0873244,-0.760406
117646479551,-0.841615,0.0888984,-0.759233
117646495806,-0.83702,0.0903459,-0.758319
117646518461,-0.83558,0.0911941,-0.757962
117646540838,-0.8344,0.0914682,-0.757963
117646555954,-0.832739,0.0913482,-0.758402
117646584529,-0.832455,0.0910785,-0.758927
117646601039,-0.833819,0.090579,-0.759572
117646615982,-0.835016,0.0897203,-0.760155
117646638284,-0.834081,0.0888095,-0.760827
117646660817,-0.830941,0.087847,-0.761404
117646683303,-0.829524,0.0873126,-0.761845
117646698333,-0.828907,0.0862687,-0.762248
117646720813,-0.827203,0.0852781,-0.762274
117646735134,-0.825665,0.0848669,-0.761896
117646759763,-0.82527,0.0844863,-0.760786
117646781016,-0.825976,0.0837685,-0.759476
117646795120,-0.825629,0.0832207,-0.758292
117646818358,-0.82352,0.0828366,-0.757108
117646840892,-0.821867,0.0822248,-0.755906
117646861931,-0.822063,0.0820983,-0.755042
117646878266,-0.822474,0.0813626,-0.754373
117646900812,-0.821005,0.0805286,-0.753819
117646915141,-0.81961,0.0801804,-0.753235
117646938347,-0.820289,0.0799476,-0.752849
117646967007,-0.82213,0.0793771,-0.752555
117646975297,-0.822724,0.0785319,-0.752299
117646998372,-0.822426,0.0783222,-0.751995
117647020938,-0.821951,0.0776266,-0.751732
117647043211,-0.821616,0.0764666,-0.751712
117647058284,-0.82152,0.0754113,-0.751934
117647080814,-0.822159,0.0743862,-0.752307
117647109337,-0.824366,0.0732194,-0.752824
117647118394,-0.827028,0.0717178,-0.753549
117647140970,-0.829323,0.0709412,-0.7544
117647161936,-0.830858,0.0709314,-0.754992
117647178482,-0.831256,0.0713761,-0.755994
117647200906,-0.83171,0.071908,-0.757765
117647221977,-0.833087,0.0723527,-0.760102
117647238462,-0.834648,0.0726206,-0.76285
117647260938,-0.835986,0.0731139,-0.765503
117647281834,-0.83692,0.0737766,-0.767872
117647298132,-0.839114,0.0742944,-0.769729
117647320817,-0.842706,0.0744009,-0.771557
117647358832,-0.846408,0.0741764,-0.77313
117647361401,-0.848596,0.0736291,-0.774356
117647388316,-0.848475,0.0731143,-0.775395
117647403304,-0.847807,0.0726713,-0.775894
