timestamp,x,y,z,w
117646179002,-0.403259,0.19342,-0.323547,0.833862
117646203988,-0.399597,0.192505,-0.321594,0.836548
117646217768,-0.394531,0.190796,-0.320496,0.839783
117646238890,-0.388855,0.189209,-0.319946,0.842957
117646262602,-0.384277,0.188477,-0.319519,0.845398
117646316150,-0.380859,0.188171,-0.319397,0.847046
117646316735,-0.378601,0.188293,-0.31958,0.847961
117646323244,-0.377075,0.188782,-0.320129,0.848328
117646338453,-0.375732,0.189514,-0.320923,0.84845
117646359616,-0.374146,0.190002,-0.321777,0.848755
117646381553,-0.372681,0.190186,-0.322144,0.849182
117646396605,-0.37207,0.190552,-0.321899,0.849487
117646444119,-0.371338,0.19043,-0.321594,0.849915
117646444699,-0.369568,0.190125,-0.32135,0.850891
117646456859,-0.367004,0.189514,-0.321228,0.852173
117646479551,-0.364014,0.188904,-0.321045,0.853638
117646495806,-0.361877,0.188599,-0.320801,0.854736
117646518461,-0.361145,0.18866,-0.320618,0.855103
117646540838,-0.360596,0.188599,-0.320679,0.855286
117646555954,-0.359863,0.188354,-0.321045,0.85553
117646584529,-0.359741,0.188293,-0.32135,0.855469
117646601039,-0.360352,0.188416,-0.321594,0.855103
117646615982,-0.360962,0.188354,-0.321899,0.854736
117646638284,-0.360657,0.187927,-0.322449,0.854797
117646660817,-0.359436,0.187134,-0.323181,0.855164
117646683303,-0.358887,0.186768,-0.323608,0.855286
117646698333,-0.358765,0.186279,-0.324036,0.855347
117646720813,-0.358215,0.185608,-0.324402,0.85553
117646735134,-0.357666,0.18512,-0.324463,0.855835
117646759763,-0.357666,0.184692,-0.324097,0.856079
117646781016,-0.358215,0.184265,-0.323608,0.85614
117646795120,-0.358276,0.183777,-0.323242,0.856323
117646818358,-0.357544,0.183044,-0.322998,0.856934
117646840892,-0.357056,0.182312,-0.322754,0.857361
117646861931,-0.357239,0.182129,-0.322388,0.857483
117646878266,-0.357605,0.181763,-0.322205,0.857483
117646900812,-0.357178,0.181091,-0.322266,0.857727
117646915141,-0.356689,0.180603,-0.322205,0.858093
117646938347,-0.357056,0.180542,-0.322021,0.858032
117646967007,-0.357971,0.180542,-0.321838,0.857727
117646975297,-0.358398,0.180237,-0.321838,0.857605
117646998372,-0.358337,0.180054,-0.321777,0.857666
117647020938,-0.358276,0.179626,-0.321838,0.857788
117647043211,-0.358337,0.179077,-0.322083,0.857788
117647058284,-0.358459,0.17865,-0.322388,0.857727
117647080814,-0.358887,0.178406,-0.322693,0.857422
117647109337,-0.359985,0.178345,-0.322937,0.856934
117647118394,-0.361328,0.178284,-0.323303,0.856201
117647140970,-0.362366,0.178467,-0.323608,0.855652
117647161936,-0.362976,0.178833,-0.32373,0.855225
117647178482,-0.362976,0.17926,-0.324036,0.855042
117647200906,-0.362915,0.179871,-0.324646,0.854736
117647221977,-0.36322,0.180725,-0.325439,0.854065
117647238462,-0.363586,0.18158,-0.326416,0.853394
117647260938,-0.363831,0.182495,-0.327332,0.852722
117647281834,-0.363892,0.18335,-0.328125,0.852234
117647298132,-0.364563,0.184265,-0.328613,0.851562
117647320817,-0.365906,0.185242,-0.329041,0.850586
117647358832,-0.367371,0.186035,-0.329407,0.84967
117647361401,-0.368286,0.186401,-0.329834,0.848999
117647388316,-0.368225,0.18634,-0.330383,0.848877
117647403304,-0.367981,0.186157,-0.33075,0.848816
117647425891,-0.368408,0.185852,-0.331116,0.848572
117647448352,-0.368774,0.185486,-0.331482,0.848328
117647463282,-0.36908,0.184937,-0.332092,0.848083
117647500843,-0.369751,0.184448,-0.332703,0.847656
117647503161,-0.3703,0.183838,-0.333313,0.847351
117647546512,-0.370483,0.183044,-0.333923,0.847168
117647548929,-0.370911,0.182373,-0.334656,0.846863
117647566807,-0.371338,0.181885,-0.335388,0.846497
117647590905,-0.371399,0.181396,-0.33606,0.846313
117647613381,-0.371704,0.181152,-0.336426,0.846069
117647635817,-0.371704,0.180786,-0.336914,0.845947
117647643477,-0.371338,0.180298,-0.337463,0.846008
117647665894,-0.371094,0.179932,-0.337891,0.846008
117647686834,-0.371582,0.180115,-0.338257,0.845642
117647703276,-0.372681,0.180542,-0.338501,0.84491
117647725880,-0.373169,0.180908,-0.338928,0.844482
117647746847,-0.37323,0.181091,-0.339172,0.844299
117647770764,-0.373413,0.181396,-0.339355,0.844116
117647785822,-0.374329,0.182068,-0.339478,0.843445
117647823868,-0.376221,0.182922,-0.3396,0.842407
117647826398,-0.377563,0.183289,-0.340088,0.841553
117647845835,-0.378601,0.183167,-0.340515,0.840942
117647867101,-0.380554,0.182678,-0.340454,0.840149
117647882678,-0.383667,0.18103,-0.339294,0.8396
117647905686,-0.386414,0.176697,-0.335144,0.840881
117647928371,-0.385498,0.171326,-0.328186,0.845154
117647949485,-0.379761,0.166443,-0.317261,0.852844
