timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
12901035091,2,-9,-20,-10,3,2,0,1
12901057525,-1,16,14,5,1,0,2,0
12901057525,-4,-10,-19,-2,-3,-1,-1,-3
12901058378,-5,-11,14,-5,-2,-3,-4,-2
12901058378,1,2,-8,5,0,-1,-3,1
12901071976,0,-6,10,-9,-6,-1,-3,0
12901071976,-5,-4,11,6,-2,-2,-2,-3
12901072673,3,-4,-8,0,1,0,0,2
12901072673,-4,1,-7,7,1,0,2,0
12901094410,0,36,6,-5,2,-1,-1,1
12901094410,-4,-3,5,4,-1,-1,-1,0
12901095144,0,-6,-22,2,-3,0,-1,0
12901095144,0,5,-1,-2,-3,1,0,-2
12901117644,-4,-6,11,-2,3,2,1,0
12901117644,-2,-9,15,7,0,0,-1,-1
12901118300,0,8,-17,-7,-3,-1,-1,-2
12901118300,0,8,-4,-2,0,-3,0,0
12901140187,9,22,24,14,2,1,0,0
12901140187,-3,-16,-13,-10,-3,-3,-2,-2
12901140836,-2,3,20,1,-3,-3,-3,-4
12901140836,2,-4,1,12,-4,-1,0,-3
12901154398,-1,-23,-16,-18,-5,-2,-4,-3
12901154398,-2,-8,-18,-5,-6,-1,0,-1
12901155166,0,1,5,-3,0,0,-2,-1
12901155166,-2,-7,-3,-1,1,-3,-2,0
12901177666,-4,-4,-19,7,0,-2,-2,-2
12901177666,-1,-5,15,0,1,-1,-1,-2
12901178334,0,-1,-20,-1,-1,1,1,-2
12901178334,-4,-18,34,-5,-1,-1,-3,-3
12901191934,-4,-29,-29,-2,-4,-5,-3,-1
12901191934,-5,4,-9,-6,-1,1,-2,-1
12901192622,0,-1,3,-3,1,-1,0,2
12901192622,2,15,0,-4,4,2,1,1
12901214517,-2,6,7,10,3,0,1,-1
12901214517,3,-2,-14,-1,-3,-1,-1,0
12901215135,-1,1,11,-1,-3,-3,-3,-3
12901215135,-2,-2,-16,-6,-4,-1,-1,-1
12901237623,-2,-3,7,6,0,0,1,1
12901237623,-3,-3,-20,-9,-2,-2,-2,-2
12901238347,-5,-5,14,3,1,-1,0,-2
12901238347,9,16,-8,-4,-1,1,0,2
12901251889,-6,-15,-3,0,-4,-3,-2,-2
12901251889,2,1,-2,3,0,-1,0,1
12901252613,1,5,3,-2,-3,-2,-1,1
12901252613,-2,-2,11,-8,0,-1,-3,-4
12901274520,-2,-19,-7,-1,0,0,0,-1
12901274520,4,8,15,3,1,0,-1,0
12901275146,-3,-4,-7,-5,-5,-3,-3,-1
12901275146,-1,-13,-20,8,-5,-2,-2,-1
12901297646,-3,4,0,-7,0,0,0,-2
12901297646,-3,-2,20,0,-1,-1,0,0
12901298342,-1,3,-7,0,2,-1,-2,0
