timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117367310379,1,10,-2,0,-7,-2,-2,0
117367310379,0,-2,3,3,6,1,2,1
117367315239,-4,-13,-9,-15,-4,-4,-2,-3
117367315239,2,5,0,3,2,1,-1,0
117367316047,-3,-7,-2,-2,-7,-2,-1,0
117367316047,1,9,4,1,-1,-2,-2,-1
117367316941,2,3,-11,-4,-3,-3,-1,0
117367316941,-4,-7,-8,-7,-10,-4,-2,-1
117367320325,-1,3,-4,-4,4,2,1,2
117367320325,0,7,15,7,-10,-1,-1,-1
117367328376,-1,-3,-4,0,9,-3,-2,-1
117367328376,0,-4,-6,-9,-17,-6,-2,-1
117367355872,1,-2,6,9,4,6,1,-1
117367355872,-1,-3,-1,2,3,-2,0,-1
117367356783,-2,-1,-7,-13,3,4,2,2
117367356783,0,-2,8,4,3,-2,-1,1
117367368023,-1,-6,-2,-4,-3,-4,-1,-1
117367368023,1,5,-12,-2,0,-3,-4,-2
117367370114,-2,-2,3,2,-5,2,1,-2
117367370114,-2,-10,-9,-6,1,-1,-2,-3
117367381764,1,14,0,-3,-10,-3,-2,1
117367381764,0,-3,6,3,5,5,1,0
117367405115,-3,-12,-3,1,14,-1,0,-1
117367405115,-3,12,-4,-2,-8,-1,0,-2
117367406651,2,0,5,2,-6,-3,0,-1
117367406651,-1,-2,3,-2,5,-4,-1,-4
117367407453,-1,-1,-7,-6,-10,0,-3,-1
117367407453,-2,-10,-2,-3,0,0,-2,1
117367427261,-2,-3,3,6,0,2,-1,-2
117367427261,0,1,-1,-3,0,-1,-1,-1
117367428114,0,-3,-2,-2,-9,-3,-2,-2
117367428114,-1,2,-1,-4,6,-1,0,-1
117367466180,0,0,-5,-2,-1,-1,1,0
117367466180,-2,-4,-4,-1,-9,-5,-1,-2
117367467156,0,-7,-3,1,0,3,2,-1
117367467156,-1,3,0,-3,-6,-6,-2,-3
117367467959,-2,-6,-1,1,-1,1,0,-1
117367467959,0,4,-2,1,6,0,-1,0
117367471031,-1,5,-4,-5,-5,-5,-3,-1
117367471031,-2,-5,-6,1,-6,3,1,-1
117367477848,-1,-3,5,-4,-9,-6,-1,0
117367477848,-2,-12,-1,-4,-5,-1,-2,-3
117367486641,-1,5,-3,1,6,-1,-1,0
117367486641,-2,-7,1,0,2,-1,-2,0
117367492867,0,4,-6,-3,-1,-1,-1,-2
117367492867,-1,0,3,-1,-2,0,-1,0
117367508411,-1,-1,-5,-7,-4,-3,0,-2
117367508411,-1,-2,-3,3,7,1,0,-2
117367515352,-2,-2,-4,0,-3,2,0,-2
117367515352,2,1,-4,-2,4,-1,0,-3
117367539035,-1,-2,2,0,-7,-3,-3,-2
117367539035,-2,-1,-4,-3,0,-1,-1,-1
117367540736,-1,-2,2,2,3,-2,-1,-1
117367540736,-1,4,1,-1,-1,-2,-2,-1
117367553372,-1,-5,-1,0,12,5,1,-2
117367553372,0,-3,-6,-9,-20,-1,0,-2
117367560236,0,8,11,11,3,-1,0,1
117367560236,-2,-18,-8,-7,-3,-4,-1,-2
117367576534,2,6,7,-1,2,0,-1,0
117367576534,-2,-4,-13,1,9,2,-2,-1
117367578122,-4,-3,-5,-3,1,-1,-2,-3
117367578122,1,11,-3,3,-6,-2,-2,1
117367599088,-2,-4,1,1,-3,-4,-1,-1
117367599088,-1,-1,3,0,-2,-4,-1,-1
117367600702,-4,-4,-1,-4,-1,0,-4,0
117367600702,-1,4,-6,0,-1,-2,-1,-2
117367613393,0,-2,-2,-2,-4,1,-1,0
117367613393,0,2,6,3,14,2,-1,-2
117367620350,-2,-5,-4,-4,-3,-3,0,-2
117367620350,-3,1,6,-3,-9,-1,-1,0
117367636664,0,-1,-8,-2,-1,0,0,-2
117367636664,-1,1,18,6,-8,-3,-3,-2
117367638148,1,-1,-2,2,6,-1,-2,-2
117367638148,0,0,4,0,1,-1,-1,0
117367659212,-5,-9,-11,1,-8,-5,-1,-1
117367659212,-1,1,-11,0,14,3,0,-1
117367660633,0,0,4,-2,-3,-1,-2,-1
117367660633,1,12,4,0,1,1,-2,0
117367673519,2,-12,-4,1,-5,-1,-1,-1
117367673519,2,1,2,-2,-5,-1,-1,0
117367680235,-1,-5,-6,-1,-6,-2,-1,-2
117367680235,-5,-9,-2,-4,1,-3,-1,-2
117367696624,2,7,2,3,6,6,1,1
117367696624,-2,1,0,-5,-8,-5,0,0
117367698198,-1,-2,1,1,1,2,0,-1
117367698198,-2,-6,-10,-12,0,-1,-1,-2
117367719268,-2,-2,5,4,9,-6,-4,-3
117367719268,1,5,-1,-2,-1,1,0,-1
117367720722,-1,-1,-1,-7,-15,0,-1,0
117367720722,0,0,7,11,11,0,1,-1
117367733647,-4,-6,0,-5,-2,-1,-2,-1
117367733647,-2,-8,-8,-3,-4,-1,-1,-2
117367740256,4,8,-5,-1,3,-3,-1,1
117367740256,1,1,-6,3,-12,2,0,-1
117367756660,-1,5,5,2,4,0,-1,1
117367756660,-3,-7,-3,-4,9,-3,-2,-2
117367758197,-1,-3,-4,-2,-8,2,-1,1
117367758197,0,-2,0,-1,-6,-1,-1,1
117367779211,-2,0,-2,-2,-5,-2,-1,-2
117367779211,2,7,6,7,-2,-2,0,2
117367780701,0,-2,-11,-11,8,-4,-2,0
117367780701,-1,3,8,6,1,1,0,0
