timestamp,x,y,z
12966426013,-2.25,1.4375,-0.1875
12966448553,-2.75,2.4375,0
12966462842,-1.9375,2.3125,-0.125
12966486008,-1.25,1.8125,0
12966508519,-2.75,1.1875,0.125
12966522827,-2.375,1,-0.125
12966553502,-0.5625,1,-0.25
12966568546,-1.3125,0.6875,-0.5625
12966582781,-1.5625,0.3125,-0.4375
12966605952,-1.9375,0.375,-1.0625
12966628482,-0.6875,0.25,-1.4375
12966642840,-0.9375,-0.125,-1.1875
12966665979,-1.1875,-0.3125,-1.375
12966688504,0.8125,-0.1875,-1.8125
12966702831,-1.625,-0.1875,-1.9375
12966725971,-2.875,0.25,-2.0625
12966748497,0.375,1.0625,-2.125
12966762830,0.4375,0.9375,-2
12966785997,-0.5625,0.0625,-1.5
12966808548,-1.25,-0.0625,-1
12966822773,-0.125,-0.125,-0.75
12966845917,1.1875,0.1875,-0.625
12966868506,0.4375,0.9375,-0.6875
12966889593,-1.375,1,-0.3125
12966905920,-1.0625,0.8125,0
12966928578,1.8125,0.3125,0.375
12966949687,1.5625,-0.1875,0.625
12966965981,2.1875,-0.1875,0.8125
12966988527,2.1875,0.375,0.4375
12967009601,0.8125,0.375,0.0625
12967026107,-0.1875,0.5,-0.5
12967048536,0.375,0.4375,-0.5
12967069527,0.875,0.4375,-0.6875
12967085962,1.3125,0.0625,-0.5625
12967108522,1.1875,0.125,-0.8125
12967129528,0.875,-0.0625,-1.25
12967145987,0.625,0.125,-1.5
12967168545,0.4375,-0.1875,-1.625
12967189702,-0.375,-0.0625,-1.0625
12967205954,-0.4375,0.5,-1
12967228510,1.75,1.25,-0.6875
12967249632,2.0625,1.375,-0.75
12967265950,-0.875,1.125,-0.5
12967288542,0.0625,0.4375,-0.125
12967309585,2.3125,0.125,-0.125
12967325917,2.6875,-0.1875,0.0625
12967348551,0.875,0,-0.125
12967370928,0.75,0,-0.375
12967385902,0.875,-0.0625,-0.625
12967408540,0.3125,-0.1875,-0.625
12967430909,0.5625,-0.375,-0.3125
12967445945,2.3125,-0.4375,-0.4375
12967468538,2.4375,-0.6875,-0.125
