timestamp,x,y,z,w
12900435934,-0.0541992,0.451172,-0.0453491,-0.889648
12900441269,-0.0428467,0.450317,-0.0418091,-0.890869
12900463783,-0.0331421,0.449463,-0.0394287,-0.891846
12900478826,-0.0265503,0.44751,-0.0388184,-0.893066
12900501262,-0.0229492,0.44342,-0.0404053,-0.895142
12900523842,-0.020813,0.438171,-0.0441284,-0.897583
12900538931,-0.0206909,0.4328,-0.0493164,-0.899902
12900561317,-0.0231934,0.42865,-0.0552979,-0.901489
12900583846,-0.027832,0.426697,-0.0592041,-0.902039
12900598895,-0.0324097,0.424377,-0.0606689,-0.902893
12900621319,-0.0327759,0.422119,-0.0608521,-0.903931
12900643824,-0.0324097,0.420654,-0.0617065,-0.904541
12900658884,-0.0353394,0.419678,-0.06427,-0.904724
12900681431,-0.0405884,0.419067,-0.0668945,-0.904602
12900703813,-0.0443726,0.419006,-0.0679932,-0.904358
12900718787,-0.0446167,0.419006,-0.0678711,-0.904358
12900741357,-0.0454712,0.41864,-0.0673828,-0.904541
12900763784,-0.0462646,0.417603,-0.065979,-0.90509
12900778880,-0.0448608,0.416321,-0.0635376,-0.905884
12900801285,-0.0421753,0.415039,-0.060791,-0.906799
12900826791,-0.039856,0.413635,-0.0588379,-0.907715
12900838850,-0.0392456,0.412476,-0.0577393,-0.908325
12900861253,-0.039978,0.411682,-0.0574951,-0.90863
12900883850,-0.0414429,0.411316,-0.0578003,-0.908752
12900898851,-0.0432739,0.411316,-0.0582275,-0.90863
12900921482,-0.0449219,0.411499,-0.0583496,-0.908447
12900939388,-0.0460815,0.411438,-0.0585327,-0.908386
12900958846,-0.0475464,0.411194,-0.05896,-0.908386
12900981292,-0.0491943,0.410706,-0.0592041,-0.908569
12900999166,-0.0501709,0.410034,-0.0593262,-0.908752
12901018755,-0.0505371,0.409424,-0.0591431,-0.909058
12901041280,-0.0505371,0.40863,-0.059082,-0.909424
12901059218,-0.0505371,0.40802,-0.0591431,-0.909668
12901078733,-0.050293,0.407471,-0.0593262,-0.909912
12901101471,-0.0498657,0.406677,-0.0599976,-0.910217
12901119179,-0.0500488,0.405945,-0.0609741,-0.910522
12901141646,-0.0507202,0.405212,-0.0620117,-0.910706
12901161407,-0.0513916,0.404297,-0.0626831,-0.911072
12901179184,-0.0514526,0.40332,-0.0629272,-0.911438
12901198928,-0.0509644,0.402832,-0.0628052,-0.911682
12901221254,-0.0509644,0.402588,-0.0626831,-0.911804
12901239240,-0.0515137,0.402466,-0.062561,-0.911865
12901258810,-0.0519409,0.402283,-0.062439,-0.911926
12901281340,-0.0521851,0.402161,-0.0622559,-0.911987
12901299211,-0.0522461,0.402161,-0.0619507,-0.911987
12901318828,-0.0518799,0.402405,-0.0615845,-0.911926
