timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117646317600,-1,-2,1,8,-4,1,0,-1
117646317600,-1,-1,2,-2,-13,-2,-2,0
117646318574,0,-1,-7,-1,-4,-4,-2,0
117646318574,0,0,-3,2,5,-3,-1,-1
117646326105,-3,-2,-1,-10,3,14,2,0
117646326105,-5,-10,1,-1,-4,-5,-1,-4
117646326994,9,19,3,2,-4,-4,1,4
117646326994,0,-2,-22,-1,-6,-6,-2,0
117646328944,2,1,10,-4,6,4,1,0
117646328944,-2,-2,-5,-2,-7,-2,-2,-2
117646340581,-5,-8,3,-3,-4,-3,-1,-2
117646340581,0,0,-3,-2,10,4,-1,-2
117646343946,0,2,-2,4,-8,-6,-3,-1
117646343946,0,1,5,2,3,0,-1,-1
117646360377,-3,-4,-3,2,6,4,-2,-1
117646360377,0,0,6,-7,-7,-1,-1,0
117646367609,-2,-5,-6,-5,-8,-8,-3,-2
117646367609,0,2,0,-2,3,-7,-2,-1
117646390823,-3,-4,-2,-5,1,13,1,-2
117646390823,-1,-1,6,0,7,5,0,-2
117646393008,-3,-3,-2,0,-2,-4,-3,-2
117646393008,1,3,-5,-4,-1,-5,-1,-1
117646404929,-1,-3,4,6,-4,-7,0,-3
117646404929,-2,-2,3,-3,-4,1,-1,-2
117646445530,-1,-1,0,3,-1,-2,-1,-1
117646445530,-3,-3,2,-5,1,0,-1,-2
117646446339,0,-1,-3,-1,-1,0,-1,0
117646446339,1,2,-1,-2,-5,1,0,0
117646449465,-2,1,8,3,2,-1,0,1
117646449465,-2,-4,-26,-10,-3,-3,-3,-1
117646450151,-3,-1,6,0,-9,-1,-1,-2
117646450151,-4,-1,1,-1,5,0,-1,-1
117646457653,1,0,-1,-3,-2,-2,-3,-1
117646457653,3,3,1,1,0,1,0,-1
117646463657,0,-1,-1,2,-5,-4,2,-1
117646463657,-3,-2,8,-1,-2,-6,-2,-2
117646480170,-1,-4,-15,-13,6,3,1,-2
117646480170,-1,0,6,3,-5,-1,-1,-2
117646495010,-1,0,-1,0,6,4,-1,-1
117646495010,0,-3,1,1,-3,-2,0,0
117646496617,0,2,2,3,-1,-5,-1,0
117646496617,-3,-1,1,2,2,0,-1,-3
117646517532,-1,-2,-1,-4,-9,-2,-2,-1
117646517532,-1,-1,-6,0,-3,-2,-1,0
117646519072,-1,-1,2,2,7,-1,-1,-1
117646519072,-2,-2,-2,-1,6,0,0,0
117646540285,-1,1,3,-2,-5,7,2,-1
117646540285,-3,-3,-6,-3,-3,1,0,-2
117646541619,2,2,1,-1,-9,0,-1,0
117646541619,0,-1,4,1,-3,-7,-2,-1
117646555061,-4,-4,-3,-5,5,-5,-3,-1
117646555061,-2,0,-2,2,1,0,1,0
117646556642,-3,-2,-4,-3,-8,0,-1,-2
117646556642,0,0,4,2,0,0,1,0
117646576561,-1,1,-1,-1,6,-7,-1,-1
117646576561,0,-2,-5,-2,-1,5,-1,-2
117646585201,-2,0,-2,1,7,3,-2,-1
117646585201,-2,2,13,0,-3,-2,-2,-1
117646600168,0,-4,-13,-5,-13,1,0,0
117646600168,-2,-2,1,2,-1,-8,-3,-4
117646601634,7,5,8,3,2,0,2,4
117646601634,1,-4,-11,-3,0,-1,-1,0
117646615081,0,-2,-4,-3,-2,-2,-2,0
117646615081,-1,1,2,-2,-1,-2,-2,-1
117646616701,-4,-3,-1,4,-1,-3,-2,-2
117646616701,-2,0,-1,-1,-3,1,0,0
117646637600,0,-1,3,0,5,1,1,0
117646637600,-2,-2,-4,-4,0,1,0,-1
117646639072,-3,-3,-2,-3,-6,-2,0,-2
117646639072,-1,-1,4,3,-1,-3,-1,-1
117646659994,-2,0,1,-2,2,-2,-2,-4
117646659994,-1,0,-7,-5,9,2,-1,0
117646661613,-2,0,1,4,0,2,0,-1
117646661613,-1,-1,2,-3,1,0,-1,-2
117646682470,0,-2,-4,0,-8,-2,-3,0
117646682470,0,-3,2,-1,-7,-5,-2,0
117646684082,-3,-2,-3,-3,-8,2,-1,-2
117646684082,-2,-2,-9,-4,2,-1,0,0
117646697547,0,1,5,6,6,4,-1,-1
117646697547,-2,-5,-7,-5,-2,-6,-2,-2
117646699135,-1,-2,-3,-2,-3,-4,-1,-3
117646699135,4,2,-3,-4,-6,-3,-1,1
117646719994,-1,-1,0,-1,-1,-3,-1,-2
117646719994,-2,-1,3,2,3,3,0,0
117646721641,-1,-2,0,3,-1,0,0,-1
117646721641,-3,-2,-6,-12,-3,0,-1,0
117646734331,-1,-1,-5,-4,-1,-3,-1,-2
117646734331,-1,-1,-1,-1,-3,2,0,-1
117646758341,-1,1,3,-4,0,-3,-1,-1
117646758341,-2,-3,-3,2,-10,-1,-1,-2
117646759126,1,1,-3,3,18,1,0,-1
117646759126,3,0,1,-3,-9,-1,0,0
117646760623,-1,-3,-5,0,-2,-2,-2,-1
117646760623,-2,-2,2,-1,-1,-1,-1,-1
117646779986,-3,-4,-5,-3,-6,-3,0,-1
117646779986,1,1,5,2,7,-1,-1,-1
117646781605,-2,-4,-14,-6,-11,-1,-1,-1
117646781605,-2,-1,1,7,-5,6,0,-2
117646794339,-1,0,13,-1,3,7,1,1
117646794339,-1,-2,-7,-3,0,-1,-1,-1
117646801176,-2,-1,3,-2,3,-2,-1,-2
117646801176,-1,-1,-6,1,-1,-5,-3,-2
117646817671,-2,-1,-2,-1,-2,-6,-2,0
117646817671,0,1,5,7,-3,3,0,0
117646819188,-3,-6,-16,-23,-3,-3,-1,-1
117646819188,-1,-2,11,10,3,1,0,-1
117646840166,0,0,-1,0,-3,-3,-1,-1
117646840166,-2,0,-2,2,-4,-1,0,0
117646841670,0,1,6,5,8,-3,0,-1
117646841670,2,0,1,-5,2,2,-1,-1
117646854082,0,-1,-2,-2,-17,0,-2,-1
117646854082,-3,-1,4,5,3,-1,-2,-1
117646862631,0,0,-5,-4,-2,0,-2,-1
117646862631,-2,-3,-3,-4,0,-1,-2,-1
117646877511,-2,-2,-1,1,0,-3,0,-2
117646877511,-2,-1,-4,-6,-2,0,0,-1
117646879105,-1,-13,2,1,3,3,0,-1
117646879105,-3,-2,-1,2,0,-1,-1,0
117646900031,1,15,3,-2,2,0,-1,0
117646900031,-2,-7,-13,-8,-3,-3,0,-3
117646901628,-1,11,5,10,-5,-1,0,0
117646901628,7,9,-2,-9,-2,-3,-1,2
117646914322,-3,-12,-6,-2,-2,-1,-2,-1
117646914322,0,2,-1,0,10,-2,-1,1
117646921122,-1,-10,1,3,-16,0,-2,-2
117646921122,-3,-4,0,0,1,4,3,-2
117646937480,-2,1,1,-2,5,2,1,-1
117646937480,-1,-3,-3,-3,5,-1,-1,-1
117646939114,0,1,-3,-3,1,-3,-2,0
117646939114,-1,1,0,2,9,-2,-2,-1
117646960117,-1,-1,0,1,-5,-2,1,-1
117646960117,-2,-5,-2,-2,-7,2,-1,-1
117646967671,-1,-1,-5,-4,0,-4,0,-1
117646967671,-1,16,3,-2,-7,-4,-2,-2
117646974421,-2,-8,-3,-2,4,-3,-2,-1
117646974421,-1,5,-2,2,1,-2,-1,-1
117646981349,-1,1,4,-3,-4,0,0,-1
117646981349,0,-7,-4,-4,-6,-2,0,0
117646997633,-1,7,-3,-2,2,-1,-1,-2
117646997633,-1,2,3,-3,-4,-1,1,-2
117646999223,-2,-8,-3,0,2,1,-1,-1
117646999223,-3,-4,-4,2,1,-1,-1,-2
117647019995,0,-3,-1,-4,-5,-1,-3,-1
117647019995,0,4,2,-2,-4,-2,0,-2
117647021663,2,4,1,1,2,-3,0,-1
117647021663,-2,-2,3,-1,0,-3,-1,-2
117647042297,-3,-5,-7,2,-5,0,-1,-1
117647042297,0,-2,-2,-7,0,0,-2,0
117647048684,-1,0,7,6,-3,0,-2,0
117647048684,0,-1,5,3,1,-1,0,-1
117647057586,-1,-4,-17,-9,-15,-9,-3,-1
117647057586,-3,1,12,5,23,9,1,-2
117647059212,-1,-1,-4,-4,5,4,-1,-2
117647059212,-1,-4,-1,-5,-11,-1,0,2
117647080015,-1,-1,0,5,5,0,0,0
117647080015,0,-4,-4,-1,-14,-8,-4,-1
117647081612,0,1,-1,-4,8,-3,-1,-2
117647081612,-2,-1,-4,0,6,1,-1,-1
117647093751,0,0,3,-3,-8,0,1,-1
117647093751,0,-1,-1,4,-5,-5,-1,-3
117647110099,-2,2,1,-1,3,-1,0,0
117647110099,-2,-7,-4,-2,-8,0,-1,0
